Subject	DLMeanAcc	Age_months	ActVocab_raw	DigitSpanFW_raw	DigitSpanBW_raw	DigitSpanTot_raw	NWR_raw	PassVocab_raw	NonVerbInt_raw	WordAss_raw	WordCatEx_norm	WordCatRec_norm	WordCatTot_norm
701	0	88	21	5	3	8	4	103	21	22	7	8	7
702	1	98	8	5	4	9	1	82	23	10	7	10	8
703	0.125	104	38	8	4	12	9	97	31	22	7	6	6
705	1	98	33	7	2	9	9	100	23	24	3	3	3
706	0.375	93	21	5	2	7	4	70	15	27	4	10	6
707	0.75	111	36	5	4	9	2	119	26	33	8	7	8
708	0.125	99	26	8	3	11	7	92	17	16	5	5	5
710	0.375	87	19	5	4	9	2	77	20	21	6	7	6
711	0.5	92	27	6	2	8	2	84	13	27	5	5	5
712	0.875	86	14	4	2	6	4	76	35	29	10	10	10
713	0.625	88	26	4	3	7	2	80	38	21	7	8	7
714	0.875	104	20	4	3	7	2	74	26	21	1	3	2
715	0.375	95	20	4	0	4	1	76	22	25	7	10	8
717	1	91	41	8	2	10	5	114	26	42	9	10	9
718	0.875	100	36	9	2	11	5	91	13	27	7	5	5
719	0.375	102	24	4	3	7	2	74	13	25	5	5	5
720	1	104	36	4	1	5	1	94	11	27	5	5	5
721	0.875	91	28	5	2	7	3	91	20	22	7	6	6
722	0.25	95	36	6	4	10	4	90	32	24	10	8	9
723	1	102	36	3	3	6	0	97	27	28	7	7	7
724	0.625	103	22	5	4	9	5	81	26	17	5	3	4
725	0.125	104	41	6	3	9	4	100	28	31	11	11	11
726	0.875	95	28	6	2	8	3	94	15	16	5	7	6
727	0	93	26	4	3	7	2	98	30	19	11	10	11
728	0.875	91	41	4	3	7	1	108	30	22	13	12	13
